Time (days),Cover Temperature (C),Internal Air Temperature (C),Vegetation Temperature (C),Growing Medium Temperature (C),Tray Temperature (C),Floor Temperature (C),Soil Layer 1 Temperature (C),Soil Layer 2 Temperature (C),Soil Layer 3 Temperature (C),Soil Layer 4 Temperature (C),Vegetation Mean Temperature (C),Vegetation Temperature Sum (C),Water Vapour Density (kg/m^3),CO2 Density (kg/m^3),Carbohydrate in Buffer (kg/m^2),Carbohydrate in Fruit (kg/m^2),Carbohydrate in Leaf (kg/m^2),Carbohydrate in Stem (kg/m^2),Relative Growth Rate of Fruit (1/s),Relative Growth Rate of Leaf (1/s),Relative Growth Rate of Stem (1/s)
0.0281712962962962,9.262843361032196,10.704726990068307,11.206669244603631,11.381486891827024,11.579973436654257,11.88966704361468,11.953593832707211,11.99836322393287,11.981581665563908,11.00830369803856,285.14439114184654,0.3324372937811727,0.0091271998105585,0.0007658791523669,0.0098330482792199,0.0010011656359536,0.0100686653427025,0.0100547298603026,4.824812947648486e-07,2.7921938779202444e-06,2.22824983953815e-06
0.0281828703703703,9.262727785039374,10.704494051283175,11.206216270908612,11.381145670904402,11.579703499566564,11.889591848494833,11.953536140346898,11.998357999942527,11.98157434253426,11.00830708151824,285.1443820223549,0.3325669982524013,0.0091270901840559,0.0007658805597358,0.0098329799168704,0.0010011661190011,0.0100686934553251,0.0100547522645538,4.824822665819679e-07,2.7921682251676896e-06,2.228231093892889e-06
0.0281944444444444,9.262612214528076,10.704261164738057,11.205763452950409,11.380804502890214,11.57943362453085,11.889516656605394,11.953478441209825,11.998352770655686,11.98156701963012,11.00831046497524,285.14437289772616,0.3326966974806021,0.0091269805927505,0.000765881966064,0.0098329115549265,0.0010011666020499,0.0100687215677593,0.0100547746686658,4.824832363444561e-07,2.7921425615847344e-06,2.2282123406857142e-06
0.0282060185185185,9.26249664897415,10.704028329915332,11.205310790728165,11.380463387816008,11.579163811557862,11.889441467935283,11.953420735316628,11.998347536071831,11.981559696851376,11.008313848409555,285.1443637679623,0.3328263914675535,0.0091268710368715,0.0007658833713519,0.0098328431933885,0.0010011670850998,0.0100687496800051,0.0100547970726385,4.824842040533955e-07,2.7921168871696394e-06,2.228193579919494e-06
0.0282175925925925,9.262381087853557,10.7037955462975,11.204858284240911,11.380122325713389,11.578894060658456,11.88936628247336,11.953363022687997,11.998342296190572,11.98155237419786,11.008317231821138,285.14435463306506,0.3329560802150338,0.0091267615166481,0.0007658847755998,0.0098327748322566,0.0010011675681509,0.0100687777920624,0.0100548194764718,4.824851697098689e-07,2.792091201920666e-06,2.2281748115970976e-06
0.0282291666666666,9.262265530642026,10.703562813366888,11.204405933487864,11.379781316613958,11.578624371843432,11.889291100208652,11.95330530334462,11.99833705101139,11.981545051669514,11.00832061521004,285.1443454930364,0.333085763724821,0.0091266520323096,0.0007658861788079,0.0098327064715311,0.0010011680512032,0.010068805903931,0.0100548418801656,4.824861333149586e-07,2.7920655058360745e-06,2.2281560357213942e-06
0.0282407407407407,9.262149976815463,10.703330130605934,11.203953738468158,11.379440360549268,11.57835474512359,11.889215921129905,11.953247577307138,11.99833180053389,11.981537729266222,11.008323998576202,285.14433634787804,0.3332154419986937,0.0091265425840854,0.0007658875809765,0.0098326381112123,0.0010011685342566,0.0100688340156109,0.0100548642837199,4.824870948697474e-07,2.792039798914127e-06,2.228137252295253e-06
0.0282523148148148,9.262034425849777,10.703097497497083,11.20350169918089,11.379099457550865,11.578085180509676,11.889140745226143,11.953189844596238,11.998326544757504,11.981530406987927,11.008327381919685,285.14432719759185,0.3333451150384299,0.0091264331722045,0.000765888982106,0.0098325697513003,0.0010011690173112,0.0100688621271019,0.0100548866871345,4.824880543753177e-07,2.792014081153084e-06,2.2281184613215424e-06
0.0282638888888888,9.261918877220808,10.70286491352266,11.203049815625263,11.378758607650298,11.57781567801254,11.889065572486231,11.953132105232612,11.99832128368189,11.981523084834407,11.00833076524043,285.14431804217975,0.333474782845808,0.0091263237968964,0.0007658903821965,0.0098325013917954,0.001001169500367,0.010068890238404,0.0100549090904094,4.82489011832752e-07,2.791988352551207e-06,2.228099662803132e-06
0.0282754629629629,9.261803330404462,10.702632378165106,11.202598087800313,11.378417810879114,11.577546237642991,11.888990402899084,11.953074359236894,11.998316017306536,11.981515762805714,11.008334148538497,285.1443088816435,0.3336044454226062,0.0091262144583902,0.0007658917812485,0.009832433032698,0.0010011699834239,0.010068918349517,0.0100549314935444,4.824899672431328e-07,2.791962613106756e-06,2.2280808567428893e-06
